sample,sample_code,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C,season,type,richness,neutral,phylogenetic,functional
EHI01438,AAP52E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.7398,26984894,8908,0.01903797219502467,4011436320,1443667,0.02748481196293917,18.6069989115186,0.841149696171636,spring,natural,206,64.9519929738724,8.370728748599504,1.6460426666996084
EHI02583,AGO25E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.5578,26804796,17156,0.02565549838727587,3933655550,2688647,0.04610221623471067,20.9027194101791,0.503464916394139,autumn,natural,81,8.770445512129886,3.6479434183195454,1.3886871024233975
EHI01612,AAP90E1L1I1,Lissotriton helveticus,Eskoriatza,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,42.967698,-2.504041,0.6203,21040786,2885,0.01773987026060852,3118261463,396947,0.02939816842094389,18.8906989040182,0.860769461267073,spring,protected,195,95.73560676615058,6.533591365834444,1.6247341077543012
EHI02095,AGO69E1L1I1,Lissotriton helveticus,Villabona,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.163074,-2.013934,0.447,44844212,84398,0.05133392261879677,6588765141,13513952,0.06887155486461471,19.3408656559472,0.861390588280386,autumn,natural,193,89.70337256636425,8.605710030994063,1.4947091119157458
EHI02596,AGO46E1L1I1,Lissotriton helveticus,Orio,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.284951,-2.123305,0.7334,32464476,3069,0.02422902629619738,4794661304,402096,0.03917876619160243,18.1860261550713,0.886192299890703,autumn,urban,161,53.618138303891406,4.5700474092436805,1.580988650587103
EHI02588,AGP24E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.5884,36141706,4282,0.02355979030707022,5324192422,620576,0.04093043821400166,18.9627651328132,0.862373180913188,autumn,protected,265,106.04786710012212,4.017461452099227,1.4943161430857157
EHI02635,AGP42E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.6634,41270908,11425,0.0272862477328396,6056942386,1240215,0.04809823427544724,18.8579007518266,0.890795461992082,autumn,natural,289,127.45026581486552,7.053559070891734,1.4983071426792574
EHI02643,AGO33E1L1I1,Lissotriton helveticus,Orio,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.284951,-2.123305,0.3274,46721146,9996,0.02903480488172372,6881602907,1865962,0.0463121069448702,21.1767418108349,0.594074877247479,autumn,urban,19,9.20281437217714,3.3762542514587137,1.4469970062953812
EHI02593,AGO12E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.6489,35835716,6208,0.03530952337624316,5285706629,1047289,0.05121077959431419,18.7134255178378,0.865950413506047,autumn,natural,199,83.39187805735747,7.199462203196942,1.507651685638873
EHI01585,AAP03E1L1I1,Lissotriton helveticus,Orio,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.284951,-2.123305,0.5197999999999999,69550978,67106,0.02733460396656739,10280510481,10705116,0.04052062892904795,19.5662796711918,0.865626110352979,spring,urban,268,103.47535793894443,6.678513443176619,1.5509950000415633
EHI02608,AGP53E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.5947,23221422,4910,0.02787654938909423,3416148534,868246,0.04635121169037615,18.8027643055952,0.777095417117626,autumn,natural,177,75.71744359501334,5.197242106494576,1.4780702295249635
EHI02104,AGO69E2L1I1,Lissotriton helveticus,Villabona,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.163074,-2.013934,0.4918,25164166,52075,0.07656829147839328,3548643728,7010599,0.13013768597408082,19.511002448251,0.831323729093125,autumn,natural,57,39.86125863132433,6.746538550050742,1.5183901484652522
EHI02611,AGP51E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.5943999999999999,22237702,1720,0.02687000300371156,3278120539,280047,0.04357325158663416,18.8329857624231,0.807172379666758,autumn,natural,190,106.28252325177539,4.157871617578938,1.4520632025066433
EHI01631,AAP85E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.6418,17466692,8786,0.02266405203567778,2579726868,1705834,0.0370521688116362,18.7926645107778,0.817863858710863,spring,natural,196,100.63313026588497,4.966208707105047,1.4743464675606497
EHI02597,AGO45E1L1I1,Lissotriton helveticus,Orio,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.284951,-2.123305,0.4808,28109296,19258,0.02295491277594741,4142180884,3302624,0.03938675763829602,19.8957328298433,0.710256485878866,autumn,urban,205,105.27317766371564,5.2367275616903335,1.4917522416957776
EHI01450,AAP37E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.7778,20757712,5071,0.02050845367008658,3082906760,808493,0.02992744042885198,17.9578834077636,0.843955130254305,spring,natural,145,31.493545660437018,6.251816524520301,1.6440121344547585
EHI01610,AAO82E1L1I1,Lissotriton helveticus,Orio,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.284951,-2.123305,0.7109000000000001,19964590,15147,0.01865802157001028,2953302267,2231717,0.03148872840175887,19.1935097023523,0.763596055719873,spring,urban,211,80.57876381259253,8.8628274596224,1.5231378772598017
EHI02641,AGO88E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.5529,57184438,47127,0.0369672150003737,8368019812,6973676,0.05972165561285814,19.9906477964991,0.734675949438475,autumn,protected,182,82.59146193600053,4.7888462296857135,1.518074888084748
EHI01436,AAP17E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.4697,13900304,13804,0.03840512116245565,2062930037,2155664,0.04761035708655947,20.8547025040643,0.46157686170638,spring,protected,7,6.11752518334603,2.6134842022164317,1.42161278714016
EHI02571,AGO32E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.5354,25519882,5386,0.01586986592707451,3756003743,830065,0.03416132327551802,18.6878771867862,0.838213267369089,autumn,natural,188,92.56098444165733,7.432481900135389,1.50239993985944
EHI01437,AAP06E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.7356999999999999,34608962,11072,0.02080421970496382,5152975041,1776019,0.02770646777880536,19.2961069574188,0.836279900801785,spring,protected,298,124.37594434027241,5.7987540221290965,1.5496068164503762
EHI01440,AAP82E1L1I1,Lissotriton helveticus,Eskoriatza,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,42.967698,-2.504041,0.7471,23221294,2380,0.01709274436455576,3461742904,412702,0.02302950465024955,17.5602574430975,0.920680596222533,spring,protected,134,40.66178708601164,5.087025760266003,1.689454052694069
EHI02586,AGO38E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.5802,27651778,4059,0.02359120332368658,4079262048,634686,0.03956819446750437,19.0812445194595,0.816289395401474,autumn,natural,172,82.48317436332253,4.370069673803008,1.4670098913925749
EHI02628,AGP60E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.654,16302210,5346,0.0339952038141943,2390103441,620136,0.0555675409503843,18.8812136871449,0.802432938233246,autumn,natural,163,92.23166758748974,4.704136045815234,1.4649574336398763
EHI01451,AAP01E1L1I1,Lissotriton helveticus,Orio,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.284951,-2.123305,0.6501,28949428,33807,0.02543112816301818,4294808146,6054971,0.03475644588211435,19.3285081160518,0.825899444405135,spring,urban,254,122.67626502263336,6.476633445069732,1.5239680687848765
EHI02591,AGO97E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.0279,35825728,31815,0.02318999352441975,5248845859,5870858,0.04484660291060294,19.5728982193423,0.68249912914743,autumn,protected,6,5.037647530645393,2.2901725054938167,1.642928066192215
EHI02620,AGO06E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.621,21156352,4883,0.02945737771233381,3116754100,669926,0.0465927556960628,19.5695222836026,0.752731598913007,autumn,urban,284,166.13418555658828,5.917829463848478,1.479306583632907
EHI01449,AAO94E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.5856,16605462,4339,0.02353310880414039,2469268928,712056,0.03170227853968754,20.458044126563,0.552126676403791,spring,natural,23,9.534178991903799,2.4933366425014136,1.442472715200099
EHI02581,AGO20E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.6822,31506080,33230,0.03939752883156877,4600169730,4222759,0.06409793429019328,18.1828379171975,0.837525483093175,autumn,urban,147,37.34358427556817,4.320978344906411,1.4929219299855336
EHI02115,AAQ18E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.5432,28632896,22755,0.14736477495088984,4104806509,3428911,0.18442846719930683,18.7771819468409,0.955938408900694,autumn,protected,8,5.4368266139396875,3.518856536733467,1.339036896735396
EHI01619,AGO81E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.4952,31727598,9419,0.02897758809765094,4685314810,1610432,0.04371173367891656,19.8754977234269,0.740658337688869,spring,urban,324,176.5600698572225,6.419515205083279,1.53370594104823
EHI02610,AGP43E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.5868,27912668,2261,0.02309277533638476,4105220256,359149,0.04206692526976241,18.7523162772926,0.838194679302178,autumn,natural,225,62.02479853742402,7.201166419870853,1.5104779315194516
EHI02609,AGO09E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.6331,31669610,4220,0.01921094285432023,4661246383,620091,0.0374983833453133,19.3667883641046,0.825573694938881,autumn,urban,343,167.11805413258418,9.077283004953724,1.5405721214162824
EHI01439,AAP07E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.6984,21253600,3504,0.02195268378123682,3161937387,553848,0.0297906974325568,19.0087313554368,0.822101385102888,spring,protected,209,101.42236481190544,6.701542355569787,1.5373749505218406
EHI02128,AAQ18E2L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.4161,34586276,51763,0.1216661240506548,4931716843,7418441,0.1637897379037685,17.3177431039468,0.988018264568206,autumn,protected,1,1,1,1
EHI01617,AAQ20E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.591,16402812,3526,0.02909688461007109,2428592048,600034,0.04142039373316086,18.9249615720197,0.786076509609623,spring,protected,159,69.87081860249559,7.529959339129502,1.627984529258619
EHI02572,AGO07E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.5611999999999999,33155320,7321,0.02714861492886267,4880002446,1104376,0.04518258659286511,21.876731237983,0.424027121426191,autumn,natural,31,21.286741269387612,4.6501168523071215,1.554406853576324
EHI02626,AGP44E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.6504000000000001,24015624,3414,0.03399687556489506,3528358847,600853,0.05367547498645864,17.2373195010464,0.879163057094924,autumn,natural,41,14.7793493618182,2.52015007860249,1.4283773872932044
EHI01613,AAP49E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.7190000000000001,21447652,21018,0.02184306218803866,3167741867,3535185,0.03578982285561638,18.1019355697074,0.830179603434453,spring,natural,141,36.9371014582453,7.330574859997328,1.8124214554688582
EHI01620,AAP88E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.3884,18673426,16104,0.03633401811421588,2752488903,2882104,0.05203708310041699,19.5401590728312,0.693614565634277,spring,natural,150,97.5619850199617,5.377430321300084,1.5227589296787456
EHI02606,AGO23E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.7299,36919162,5682,0.01964946415138913,5435331711,840830,0.03765337116177325,15.2603383192318,0.959600561684017,autumn,natural,25,2.7385700044135284,1.4315252213610403,1.1758833921178837
EHI01618,AAP86E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.4261,19810942,10287,0.03612336645031966,2923106168,1938639,0.0512373274819089,19.598199820478,0.707565665982226,spring,natural,203,128.996013414379,6.936683174199623,1.5250383282538527
EHI01447,AAO96E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.8206,16123408,5777,0.02157849384064569,2397840255,928745,0.02956530533810708,17.262979923079,0.825136240944234,spring,natural,111,16.28465422426856,4.032884391103332,1.541000766180301
EHI02604,AGP63E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.7827,18923946,239,0.03045260532022975,2794213584,33019,0.0455991528646833,18.5455719246911,0.853720884617656,autumn,protected,162,92.61001667227873,4.609974042888154,1.6244725036684404
EHI01444,AAO92E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.5692,27854448,47442,0.02636674183243403,4128919564,8828658,0.0357855274765182,18.6822392073483,0.825824988448631,spring,protected,113,55.50622180609317,6.592890405410427,1.6102625208564492
